Binário,Char,6T
100001,!,00000000 - + 0 0 - +
100010,"""",00000001 0 - + - + 0
100011,#,00000010 0 - + 0 - +
100100,$,00000011 0 - + + 0 -
100101,%,00000100 - + 0 + 0 -
100110,&,00000101 + 0 - - + 0
100111,,00000110 + 0 - 0 - +
101000,(,00000111 + 0 - + 0 -
101010,),00001000 - + 0 0 + -
101001,*,00001001 0 - + + - 0
101011,=+,00001010 0 - + 0 + -
101100,",",00001011 0 - + - 0 +
101101,–,00001100 - + 0 - 0 +
101110,.,00001101 + 0 - + - 0
101111,/,00001110 + 0 - 0 + -
110000,0,00001111 + 0 - - 0 +
110001,1,00010000 0 - - + 0 +
110010,2,00010001 - 0 - 0 + +
110011,3,00010010 - 0 - + 0 +
110100,4,00010011 - 0 - + + 0
110101,5,00010100 0 - - + + 0
110110,6,00010101 - - 0 0 + +
110111,7,00010110 - - 0 + 0 +
111000,8,00010111 - - 0 + + 0
111001,9,00011000 - + 0 - + 0
111010,:,00011001 + - 0 - + 0
111011,;,00011010 - + + - + 0
111100,<,00011011 + 0 0 - + 0
111101,=,00011100 + 0 0 + - 0
111110,>,00011101 - + + + - 0
111111,?,00011110 + - 0 + - 0
1000000,@,00011111 - + 0 + - 0
1000001,A,00100000 - + + - 0 0
1000010,B,00100001 + 0 0 + - -
1000011,C,00100010 - + 0 - + +
1000100,D,00100011 + - 0 - + +
1000101,E,00100100 + - 0 + 0 0
1000110,F,00100101 - + 0 + 0 0
1000111,G,00100110 + 0 0 - 0 0
1001000,H,00100111 - + + + - -
1001001,I,00101000 0 + + - 0 -
1001010,J,00101001 + 0 + 0 - -
1001011,K,00101010 + 0 + - 0 -
1001100,L,00101011 + 0 + - - 0
1001101,M,00101100 0 + + - - 0
1001110,N,00101101 + + 0 0 - -
1001111,O,00101110 + + 0 - 0 -
1010000,P,00101111 + + 0 - - 0
1010001,Q,00110000 + - 0 0 - +
1010010,R,00110001 0 + - - + 0
1010011,S,00110010 0 + - 0 - +
1010100,T,00110011 0 + - + 0 -
1010101,U,00110100 + - 0 + 0 -
1010110,V,00110101 - 0 + - + 0
1010111,W,00110110 - 0 + 0 - +
1011000,X,00110111 - 0 + + 0 -
1011001,Y,00111000 + - 0 0 + -
1011010,Z,00111001 0 + - + - 0
1011011,[,00111010 0 + - 0 + -
1011100,\,00111011 0 + - - 0 +
1011101,],00111100 + - 0 - 0 +
1011110,^,00111101 - 0 + + - 0
1011111,_,00111110 - 0 + 0 + -
1100000,`,00111111 - 0 + - 0 +
1100001,a,01000000 - 0 0 + 0 +
1100010,b,01000001 0 - 0 0 + +
1100011,c,01000010 0 - 0 + 0 +
1100100,d,01000011 0 - 0 + + 0
1100101,e,01000100 - 0 0 + + 0
1100110,f,01000101 0 0 - 0 + +
1100111,g,01000110 0 0 - + 0 +
1101000,h,01000111 0 0 - + + 0
1101001,i,01001000 0 0 + 0 0 0
1101010,j,01001001 + + - 0 0 0
1101011,k,01001010 + - + 0 0 0
1101100,l,01001011 - + + 0 0 0
1101101,m,01001100 0 + - 0 0 0
1101110,n,01001101 + 0 - 0 0 0
1101111,o,01001110 0 - + 0 0 0
1110000,p,01001111 - 0 + 0 0 0
1110001,q,01010000 + - - + 0 +
1110010,r,01010001 - + - 0 + +
1110011,s,01010010 - + - + 0 +
1110100,t,01010011 - + - + + 0
1110101,u,01010100 + - - + + 0
1110110,v,01010101 - - + 0 + +
1110111,w,01010110 - - + + 0 +
1111000,x,01010111 - - + + + 0
1111001,y,01011000 - - 0 + + +
1111010,z,01011001 - 0 - + + +
1111011,{,01011010 0 - - + + +
1111100,|,01011011 0 - - 0 + +
1111101,},01011100 + - - 0 + +
1111110,~,01011101 - 0 0 0 + +
1111111,Del,01011110 0 + + + - -
10000000,Ç,01011111 0 + + - 0 0
10000001,ü,01100000 0 + + 0 - 0
10000010,é,01100001 + 0 + - 0 0
10000011,â,01100010 + 0 + 0 - 0
10000100,ä,01100011 + 0 + 0 0 -
10000101,à,01100100 0 + + 0 0 -
10000110,å,01100101 + + 0 - 0 0
10000111,ç,01100110 + + 0 0 - 0
10001000,ê,01100111 + + 0 0 0 -
10001001,ë,01101000 0 + + - + -
10001010,è,01101001 + 0 + + - -
10001011,ï,01101010 + 0 + - + -
10001100,î,01101011 + 0 + - - +
10001101,ì,01101100 0 + + - - +
10001110,Ä,01101101 + + 0 + - -
10001111,Å,01101110 + + 0 - + -
10010000,É,01101111 + + 0 - - +
10010001,æ,01110000 0 0 0 + + -
10010010,Æ,01110001 0 0 0 + - +
10010011,ô,01110010 0 0 0 - + +
10010100,ö,01110011 0 0 0 + 0 0
10010101,ò,01110100 0 0 0 + 0 -
10010110,û,01110101 0 0 0 + - 0
10010111,ù,01110110 0 0 0 - 0 +
10011000,ÿ,01110111 0 0 0 - + 0
10011001,Ö,01111000 + + + - - 0
10011010,Ü,01111001 + + + - 0 -
10011011,ø,01111010 + + + 0 - -
10011100,£,01111011 0 + + 0 - -
10011101,Ø,01111100 - 0 0 - + +
10011110,×,01111101 - 0 0 + 0 0
10011111,ƒ,01111110 + - - - + +
10100000,á,01111111 + - - + 0 0
10100001,ù,10000000 - 0 0 + - +
10100010,ó,10000001 0 - 0 - + +
10100011,ú,10000010 0 - 0 + - +
10100100,ñ,10000011 0 - 0 + + -
10100101,Ñ,10000100 - 0 0 + + -
10100110,ª,10000101 0 0 - - + +
