Binário,Char,6T
100001.0,!,-+00-+
100010.0,"""",0-+-+0
100011.0,#,0-+0-+
100100.0,$,0-++0-
100101.0,%,-+0+0-
100110.0,&,+0--+0
100111.0,,+0-0-+
101000.0,(,+0-+0-
101010.0,),-+00+-
101001.0,*,0-++-0
101011.0,#ERROR!,0-+0+-
101100.0,",",0-+-0+
101101.0,–,-+0-0+
101110.0,.,+0-+-0
101111.0,/,+0-0+-
110000.0,0,+0--0+
110001.0,1,0--+0+
110010.0,2,-0-0++
110011.0,3,-0-+0+
110100.0,4,-0-++0
110101.0,5,0--++0
110110.0,6,--00++
110111.0,7,--0+0+
111000.0,8,--0++0
111001.0,9,-+0-+0
111010.0,:,+-0-+0
111011.0,;,-++-+0
111100.0,<,+00-+0
111101.0,#ERROR!,+00+-0
111110.0,>,-+++-0
111111.0,?,+-0+-0
1000000.0,@,-+0+-0
1000001.0,A,-++-00
1000010.0,B,+00+--
1000011.0,C,-+0-++
1000100.0,D,+-0-++
1000101.0,E,+-0+00
1000110.0,F,-+0+00
1000111.0,G,+00-00
1001000.0,H,-+++--
1001001.0,I,0++-0-
1001010.0,J,+0+0--
1001011.0,K,+0+-0-
1001100.0,L,+0+--0
1001101.0,M,0++--0
1001110.0,N,++00--
1001111.0,O,++0-0-
1010000.0,P,++0--0
1010001.0,Q,+-00-+
1010010.0,R,0+--+0
1010011.0,S,0+-0-+
1010100.0,T,0+-+0-
1010101.0,U,+-0+0-
1010110.0,V,-0+-+0
1010111.0,W,-0+0-+
1011000.0,X,-0++0-
1011001.0,Y,+-00+-
1011010.0,Z,0+-+-0
1011011.0,[,0+-0+-
1011100.0,\,0+--0+
1011101.0,],+-0-0+
1011110.0,^,-0++-0
1011111.0,_,-0+0+-
1100000.0,`,-0+-0+
1100001.0,a,-00+0+
1100010.0,b,0-00++
1100011.0,c,0-0+0+
1100100.0,d,0-0++0
1100101.0,e,-00++0
1100110.0,f,00-0++
1100111.0,g,00-+0+
1101000.0,h,00-++0
1101001.0,i,00+000
1101010.0,j,++-000
1101011.0,k,+-+000
1101100.0,l,-++000
1101101.0,m,0+-000
1101110.0,n,+0-000
1101111.0,o,0-+000
1110000.0,p,-0+000
1110001.0,q,+--+0+
1110010.0,r,-+-0++
1110011.0,s,-+-+0+
1110100.0,t,-+-++0
1110101.0,u,+--++0
